packet_id,packet_len,tcp_payload_len,parse_cycles,parse_us,extraction_cycles,extraction_us,prediction_cycles,prediction_us,total_cycles,total_us,prediction
4,187,121,30,0.037202,187,0.231895,7,0.008681,502,0.622520,0.000000000
8,187,121,30,0.037202,136,0.168651,8,0.009921,535,0.663442,0.000000000
11,187,121,25,0.031002,147,0.182292,8,0.009921,685,0.849454,0.000000000
14,187,121,25,0.031002,140,0.173611,9,0.011161,416,0.515873,0.000000000
17,187,121,84,0.104167,103,0.127728,8,0.009921,576,0.714286,0.000000000
23,187,121,25,0.031002,164,0.203373,7,0.008681,502,0.622520,0.000000000
26,187,121,81,0.100446,147,0.182292,10,0.012401,651,0.807292,0.000000000
29,187,121,36,0.044643,109,0.135169,9,0.011161,561,0.695685,0.000000000
32,187,121,77,0.095486,126,0.156250,10,0.012401,472,0.585317,0.000000000
35,187,121,38,0.047123,101,0.125248,8,0.009921,557,0.690724,0.000000000
41,187,121,90,0.111607,170,0.210813,9,0.011161,468,0.580357,0.000000000
44,187,121,31,0.038442,65,0.080605,10,0.012401,304,0.376984,0.000000000
47,187,121,74,0.091766,113,0.140129,9,0.011161,512,0.634921,0.000000000
50,187,121,29,0.035962,107,0.132688,8,0.009921,207,0.256696,0.000000000
53,187,121,114,0.141369,114,0.141369,7,0.008681,439,0.544395,0.000000000
59,187,121,36,0.044643,118,0.146329,10,0.012401,449,0.556796,0.000000000
62,187,121,36,0.044643,103,0.127728,8,0.009921,384,0.476190,0.000000000
65,187,121,32,0.039683,164,0.203373,8,0.009921,343,0.425347,0.000000000
68,187,121,139,0.172371,116,0.143849,9,0.011161,640,0.793651,0.000000000
71,187,121,25,0.031002,170,0.210813,8,0.009921,483,0.598958,0.000000000
77,187,121,101,0.125248,174,0.215774,9,0.011161,456,0.565476,0.000000000
80,187,121,29,0.035962,107,0.132688,9,0.011161,518,0.642361,0.000000000
83,187,121,40,0.049603,126,0.156250,10,0.012401,448,0.555556,0.000000000
86,187,121,108,0.133929,86,0.106647,10,0.012401,592,0.734127,0.000000000
89,187,121,101,0.125248,92,0.114087,9,0.011161,426,0.528274,0.000000000
95,187,121,111,0.137649,175,0.217014,9,0.011161,489,0.606399,0.000000000
98,187,121,29,0.035962,174,0.215774,8,0.009921,679,0.842014,0.000000000
101,187,121,97,0.120288,139,0.172371,8,0.009921,730,0.905258,0.000000000
104,187,121,23,0.028522,84,0.104167,9,0.011161,603,0.747768,0.000000000
107,187,121,77,0.095486,136,0.168651,8,0.009921,454,0.562996,0.000000000
113,187,121,30,0.037202,97,0.120288,10,0.012401,439,0.544395,0.000000000
116,187,121,23,0.028522,74,0.091766,8,0.009921,397,0.492312,0.000000000
119,187,121,86,0.106647,134,0.166171,8,0.009921,437,0.541915,0.000000000
122,187,121,29,0.035962,82,0.101687,8,0.009921,430,0.533234,0.000000000
125,187,121,31,0.038442,92,0.114087,8,0.009921,441,0.546875,0.000000000
131,187,121,28,0.034722,67,0.083085,8,0.009921,322,0.399306,0.000000000
134,187,121,31,0.038442,120,0.148810,8,0.009921,519,0.643601,0.000000000
137,187,121,32,0.039683,88,0.109127,7,0.008681,537,0.665923,0.000000000
140,187,121,23,0.028522,84,0.104167,8,0.009921,556,0.689484,0.000000000
143,187,121,30,0.037202,105,0.130208,8,0.009921,546,0.677083,0.000000000
149,187,121,25,0.031002,181,0.224454,8,0.009921,646,0.801091,0.000000000
