batch_id,first_record_id,last_record_id,records,inference_ns,inference_us,inference_ms,per_packet_us,per_packet_ms,squared_sum,l2_norm,reconstruction_error,mse,,,,,,,predicted_label
1,0,11,12,1849646,1849.646,1.849646,154.137167,0.154137,312.9239197,17.6896553,17.6896553,0.96581459,,,,,,,1
2,12,23,12,2764442,2764.442,2.764442,230.370167,0.23037,312.9354248,17.68998146,17.68998146,0.965850055,,,,,,,1
3,24,35,12,1855054,1855.054,1.855054,154.587833,0.154588,311.0335999,17.63614464,17.63614464,0.959980249,,,,,,,1
4,36,47,12,1788608,1788.608,1.788608,149.050667,0.149051,308.4695435,17.56330109,17.56330109,0.952066481,,,,,,,1
5,48,59,12,3743456,3743.456,3.743456,311.954667,0.311955,319.2727051,17.86820221,17.86820412,0.985409558,,,,,,,1
6,60,71,12,1916618,1916.618,1.916618,159.718167,0.159718,317.6233215,17.82199097,17.82198906,0.980318904,,,,,,,1
7,72,83,12,1862468,1862.468,1.862468,155.205667,0.155206,314.3847046,17.730896,17.730896,0.970323145,,,,,,,1
8,84,95,12,1590589,1590.589,1.590589,132.549083,0.132549,314.4525757,17.73281097,17.73281097,0.970532656,,,,,,,1
9,96,107,12,4624775,4624.775,4.624775,385.397917,0.385398,316.5964355,17.79315758,17.79315758,0.977149487,,,,,,,1
10,108,119,12,1492451,1492.451,1.492451,124.370917,0.124371,313.9326172,17.71814346,17.71814346,0.96892786,,,,,,,1
11,120,131,12,1871827,1871.827,1.871827,155.985583,0.155986,305.2988281,17.47280312,17.47280312,0.942280352,,,,,,,1
12,132,143,12,1745328,1745.328,1.745328,145.444,0.145444,307.0889893,17.52395439,17.52395439,0.947805524,,,,,,,1
13,144,155,12,1934809,1934.809,1.934809,161.234083,0.161234,318.6131592,17.84973717,17.84973908,0.98337394,,,,,,,1
14,156,167,12,1770098,1770.098,1.770098,147.508167,0.147508,314.9447021,17.74668121,17.74668121,0.972051561,,,,,,,1
15,168,179,12,3714616,3714.616,3.714616,309.551333,0.309551,307.4927979,17.53547096,17.53547287,0.949051857,,,,,,,1
16,180,191,12,2293936,2293.936,2.293936,191.161333,0.191161,309.6946106,17.59814262,17.59814262,0.955847561,,,,,,,1
17,192,203,12,2038834,2038.834,2.038834,169.902833,0.169903,314.5292664,17.73497391,17.73497391,0.970769346,,,,,,,1
18,204,215,12,1971577,1971.577,1.971577,164.298083,0.164298,314.9311829,17.74629974,17.74629974,0.972009838,,,,,,,1
19,216,227,12,2241173,2241.173,2.241173,186.764417,0.186764,316.733429,17.7970047,17.79700661,0.977572322,,,,,,,1
20,228,239,12,1569134,1569.134,1.569134,130.761167,0.130761,313.7752991,17.71370506,17.71370316,0.968442261,,,,,,,1
21,240,251,12,2607084,2607.084,2.607084,217.257,0.217257,317.7446594,17.82539368,17.82539368,0.9806934,,,,,,,1
22,252,263,12,5451096,5451.096,5.451096,454.258,0.454258,314.1334839,17.7238102,17.7238121,0.969547808,,,,,,,1
23,264,275,12,2009777,2009.777,2.009777,167.481417,0.167481,314.3555298,17.73007584,17.73007393,0.970233142,,,,,,,1
24,276,287,12,1850933,1850.933,1.850933,154.244417,0.154244,309.6206665,17.59604073,17.59604073,0.955619335,,,,,,,1
25,288,299,12,1832839,1832.839,1.832839,152.736583,0.152737,311.8892822,17.66038704,17.66038704,0.962621212,,,,,,,1
26,300,311,12,1745149,1745.149,1.745149,145.429083,0.145429,315.4039917,17.75961685,17.75961685,0.973469138,,,,,,,1
27,312,323,12,1737410,1737.41,1.73741,144.784167,0.144784,312.0913086,17.66610527,17.66610527,0.963244796,,,,,,,1
28,324,335,12,1879867,1879.867,1.879867,156.655583,0.156656,308.0629272,17.55172157,17.55172157,0.950811505,,,,,,,1
29,336,347,12,2006212,2006.212,2.006212,167.184333,0.167184,310.4389954,17.61927986,17.61927986,0.958145022,,,,,,,1
30,348,359,12,1950888,1950.888,1.950888,162.574,0.162574,313.1464844,17.69594574,17.69594574,0.966501474,,,,,,,1
31,360,371,12,1710187,1710.187,1.710187,142.515583,0.142516,317.8861084,17.82936096,17.82936096,0.981129944,,,,,,,1
32,372,383,12,1579826,1579.826,1.579826,131.652167,0.131652,317.8575439,17.82855988,17.82855988,0.981041789,,,,,,,1
33,384,395,12,2049195,2049.195,2.049195,170.76625,0.170766,316.0933228,17.77901268,17.77901268,0.975596666,,,,,,,1
34,396,407,12,1807752,1807.752,1.807752,150.646,0.150646,313.8156738,17.71484375,17.71484375,0.968566895,,,,,,,1
35,408,419,12,1876138,1876.138,1.876138,156.344833,0.156345,317.1002197,17.8073082,17.8073082,0.978704393,,,,,,,1
36,420,431,12,1907918,1907.918,1.907918,158.993167,0.158993,306.0718384,17.49490929,17.49490929,0.944666147,,,,,,,1
37,432,443,12,2047360,2047.36,2.04736,170.613333,0.170613,309.1673279,17.58315468,17.58315468,0.954220176,,,,,,,1
38,444,455,12,2106784,2106.784,2.106784,175.565333,0.175565,315.9519043,17.77503777,17.77503586,0.975160182,,,,,,,1
39,456,467,12,1860885,1860.885,1.860885,155.07375,0.155074,314.9202576,17.74599266,17.74599266,0.971976101,,,,,,,1
40,468,479,12,1804260,1804.26,1.80426,150.355,0.150355,306.4091187,17.50454521,17.50454521,0.945707142,,,,,,,1
41,480,491,12,21554986,21554.986,21.554986,1796.248833,1.796249,306.7698975,17.51484871,17.51484871,0.946820676,,,,,,,1
